nombre,conteo_productos,envios,ventas
Dick Sweater vneck,6,10071,3542
Dickens Skirt shine,3,5828,1540
Dima Shirt basc,12,16385,5983
Dimas Jacket denim,5,10359,3938
Dina Sweater knit,15,12470,3564
Diona Skirt midi,10,17307,5104
Dita Dress sharp,4,4135,1342
Dita Sweater desires,15,10251,5060
Ditsy Top floral,6,2002,682
Dixie Pant jegging,9,6842,2090
Dodo Sweater desires,16,9568,3652
Doll Shirt season,6,7873,2970
Doll Skirt gold,3,2420,704
Dollie Sweater six,20,8118,2662
Dora Pant film,10,12315,3564
Dora Tshirt season,12,24495,10888
Doro Dress embroid,4,836,66
Dots Jumpsuit long,4,3080,1166
Dots Shirt majolica,6,13019,5674
Dots Shirt season,3,2200,1188
Dots Shirt tie,3,2332,1012
Dots Short cerise,9,8753,3850
Dots Top charlior,7,13723,7192
Dots Top tailor,5,3695,1430
Dots Tshirt film,3,3277,1694
Dotts Shirt cerise,6,8728,4708
Dotty Top printed,6,10532,5654
Dou Jeans onesize,20,347285,165154
Douglas Cardigan shine,8,14955,4290
Dover Scarf closet,3,13590,5871
Dream Top film,5,3938,1848
Dree Shirt floral,10,4466,1694
Dubley Foulard closet,1,4794,2067
Duna Jacket origin,10,7546,3124
Dungaree Jumpsuit denim,7,2816,770
Dunstand Scarf nude,2,6928,3232
Duo Top cerise,6,10446,4422
Durham Scarf closet,2,7961,3254
Dust Short summer,2,5256,1782
Dusta Skirt doll,4,9610,2684
Eastside Shirt cotton,4,154,44
Ebro Skirt jupe,4,1760,418
Edadala Coat woven,4,1518,506
Edbasic T-shirt oneck,20,12760,4510
Edbelt Dress knit,4,4376,1210
Edchecked Dress knit,4,4068,1210
Edge Cardigan long,7,2508,902
Edherringbone Shirt woven,8,12315,4796
Edhr Jeans skinny,4,2728,1122
Edhre Jeans skinny,4,2728,1056
Edith Pant beng,12,8382,2178
Edly Tshirt desires,12,14580,6534
