nivel,tasa_acept,contr_ventas
1,23.79,0.022898
3,39.42,0.005089
1,39.76,0.042469
2,26.07,0.024073
3,33.87,0.00411
1,45.63,0.016244
1,43.09,0.585561
2,36.96,0.006654
1,42.52,0.030531
2,40.97,0.051472
2,26.92,0.00959
1,31.94,0.010373
1,51.26,0.020158
2,41.72,0.013308
3,44.05,0.02973
3,43.57,0.03384
1,43.81,0.026225
1,29.07,0.008416
3,34.65,0.013896
1,49.14,0.021528
2,41.83,0.123654
2,54.1,0.018201
2,66.94,0.032488
2,42.94,0.014874
3,37.74,0.027987
1,49.09,0.010568
2,38.93,0.018584
1,51.87,0.046775
3,33.33,0.002349
2,52.55,0.038555
2,32.84,0.004306
2,40.7,0.00685
1,35.86,0.015853
1,48.03,0.021528
1,34.51,0.013504
1,47.17,0.024464
2,21.8,0.005676
2,44.47,0.060644
1,40.29,0.011351
2,26.67,0.008611
1,34.44,0.006067
2,36.8,0.013896
1,33.8,0.004697
2,30.69,0.010568
1,35.92,0.024464
2,34.61,0.053234
3,38.51,0.04166
2,49.11,0.026813
1,29.55,0.005089
3,41.4,0.01507
2,38.55,0.006263
1,42.23,0.065937
2,,0.0
2,47.37,0.029748
2,42.14,0.101966
1,40.2,0.052059
2,29.52,0.006067
1,41.57,0.007241
2,33.82,0.004501
1,34.98,0.013896
2,47.5,0.014874
1,32.14,0.008807
2,50.46,0.021333
1,40.53,0.317116
1,44.21,0.00822
1,48.11,0.062023
1,49.68,0.041491
1,58.9,0.01233
3,28.77,0.00411
1,30.48,0.006263
1,42.11,0.006263
1,32.46,0.007241
1,47.19,0.00822
1,38.41,0.161018
1,52.36,0.015266
2,48.65,0.007046
1,23.3,0.004697
2,41.23,0.009198
1,46.43,0.007633
2,50.0,0.005089
2,42.25,0.005871
1,45.45,0.005871
1,71.43,0.002936
2,31.38,0.044008
1,31.3,0.007046
2,47.5,0.03699
3,48.72,0.007437
2,55.06,0.017027
3,37.76,0.018397
2,47.81,0.027791
3,41.59,0.056143
1,43.0,0.008416
2,44.21,0.00822
1,41.05,0.015266
1,45.12,0.007241
1,55.0,0.014091
